[Sat Dec 19 16:05:03 2015] [error] [client 117.176.140.238] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/files/news_imgs/undefined.png, referer: http://120.24.169.214:8000/client/news_PBL/
[Sat Dec 19 16:05:26 2015] [error] [client 117.176.140.238] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/client/artwork/demo_files/skin, referer: http://120.24.169.214:8000/client/artwork_index/
[Sat Dec 19 16:06:30 2015] [error] [client 117.176.140.238] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/files/news_imgs/undefined.png, referer: http://120.24.169.214:8000/client/news_PBL/
[Sat Dec 19 20:28:49 2015] [error] [client 120.24.160.23] mod_wsgi (pid=22574): Exception occurred processing WSGI script '/root/yz_app.github.io/yz_site/yz_site/wsgi.py'.
[Sat Dec 19 20:28:49 2015] [error] [client 120.24.160.23] IOError: failed to write data
[Sat Dec 19 20:28:50 2015] [error] [client 120.24.160.23] mod_wsgi (pid=23110): Exception occurred processing WSGI script '/root/yz_app.github.io/yz_site/yz_site/wsgi.py'.
[Sat Dec 19 20:28:50 2015] [error] [client 120.24.160.23] IOError: failed to write data
[Sun Dec 20 10:57:56 2015] [error] [client 125.71.229.58] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/files/news_imgs/undefined.png, referer: http://120.24.169.214:8000/client/news_PBL/
[Sun Dec 20 02:58:26 2015] [error] [client 125.71.229.58] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/files/news_imgs/undefined.png, referer: http://120.24.169.214:8000/client/news_PBL/
[Sun Dec 20 02:58:43 2015] [error] [client 125.71.229.58] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/files/news_imgs/undefined.png, referer: http://120.24.169.214:8000/client/news_PBL/
[Sun Dec 20 13:00:07 2015] [error] [client 125.71.229.58] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/files/news_imgs/undefined.png, referer: http://120.24.169.214:8000/client/news_PBL/
[Sun Dec 20 13:00:17 2015] [error] [client 125.71.229.58] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/client/artwork/demo_files/skin, referer: http://120.24.169.214:8000/client/artwork_index/
[Sun Dec 20 13:25:19 2015] [error] [client 117.176.140.242] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/files/news_imgs/undefined.png, referer: http://120.24.169.214:8000/client/news_PBL/
[Sun Dec 20 13:25:43 2015] [error] [client 117.176.140.242] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/client/artwork/demo_files/skin, referer: http://120.24.169.214:8000/client/artwork_index/
[Sun Dec 20 05:26:12 2015] [error] [client 117.176.140.242] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/files/news_imgs/undefined.png, referer: http://120.24.169.214:8000/client/news_PBL/
[Sun Dec 20 13:26:20 2015] [error] [client 117.176.140.242] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/files/news_imgs/undefined.png, referer: http://120.24.169.214:8000/client/news_PBL/
[Sun Dec 20 07:04:09 2015] [error] [client 125.71.229.58] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/client/artwork/demo_files/skin, referer: http://120.24.169.214:8000/client/artwork_index/
[Sun Dec 20 07:10:09 2015] [error] [client 125.71.229.58] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/client/artwork/demo_files/skin, referer: http://120.24.169.214:8000/client/artwork_index/
